Year,Title
2015,Automatic Segmentation of Renal Compartments in DCE-MRI Images
2015,Harmonizing Diffusion MRI Data Across Multiple Sites and Scanners
2015,Track Filtering via Iterative Correction of TDI Topology
2015,Novel Single and Multiple Shell Uniform Sampling Schemes for Diffusion MRI Using Spherical Codes
2015,q-Space Deep Learning for Twelve-Fold Shorter and Model-Free Diffusion MRI Scans
2015,A Machine Learning Based Approach to Fiber Tractography Using Classifier Voting
2015,Symmetric Wiener Processes for Probabilistic Tractography and Connectivity Estimation
2015,An Iterated Complex Matrix Approach for Simulation and Analysis of Diffusion MRI Processes
2015,Prediction of Motor Function in Very Preterm Infants Using Connectome Features and Local Synthetic Instances
2015,Segmenting Kidney DCE-MRI Using 1
2015,Comparison of Stochastic and Variational Solutions to ASL fMRI Data Analysis
2015,Prediction of CT Substitutes from MR Images Based on Local Sparse Correspondence Combination
2015,Robust Automated White Matter Pathway Reconstruction for Large Studies
2015,Exploiting the Phase in Diffusion MRI for Microstructure Recovery: Towards Axonal Tortuosity via Asymmetric Diffusion Processes
2015,Sparse Bayesian Inference of White Matter Fiber Orientations from Compressed Multi-resolution Diffusion MRI
2015,Classification of MRI under the Presence of Disease Heterogeneity using Multi-Task Learning: Application to Bipolar Disorder
2015,Fiber Connection Pattern-Guided Structured Sparse Representation of Whole-Brain fMRI Signals for Functional Network Inference
2015,Joint Estimation of Hemodynamic Response Function and Voxel Activation in Functional MRI Data
2015,Quantifying Microstructure in Fiber Crossings with Diffusional Kurtosis
2015,Which Manifold Should be Used for Group Comparison in Diffusion Tensor Imaging?
2015,Convex Non-negative Spherical Factorization of Multi-Shell Diffusion-Weighted Images
2015,Tensorial Spherical Polar Fourier Diffusion MRI with Optimal Dictionary Learning
2015,Diffusion Compartmentalization Using Response Function Groups with Cardinality Penalization
2015,V-Bundles: Clustering Fiber Trajectories from Diffusion MRI in Linear Time
2015,Assessment of Mean Apparent Propagator-Based Indices as Biomarkers of Axonal Remodeling after Stroke
2015,Integrating Multimodal Priors in Predictive Models for the Functional Characterization of Alzheimer's Disease
2015,Simultaneous Denoising and Registration for Accurate Cardiac Diffusion Tensor Reconstruction from MRI
2015,Iterative Subspace Screening for Rapid Sparse Estimation of Brain Tissue Microstructural Properties
2015,Elucidating Intravoxel Geometry in Diffusion-MRI: Asymmetric Orientation Distribution Functions (AODFs) Revealed by a Cone Model
2015,Modeling Task FMRI Data via Supervised Stochastic Coordinate Coding
2015,Autonomous Ultrasound-Guided Tissue Dissection
2015,A Compact Retinal-Surgery Telemanipulator that Uses Disposable Instruments
2015,Surgical Tool Tracking and Pose Estimation in Retinal Microsurgery
2015,Direct Calibration of a Laser Ablation System in the Projective Voltage Space
2015,Surrogate-Driven Estimation of Respiratory Motion and Layers in X-Ray Fluoroscopy
2015,Robust 5DOF Transesophageal Echo Probe Tracking at Fluoroscopic Frame Rates
2015,Rigid Motion Compensation in Interventional C-arm CT Using Consistency Measure on Projection Data
2015,"Hough Forests for Real-Time, Automatic Device Localization in Fluoroscopic Images: Application to TAVR"
2015,Hybrid Utrasound and MRI Acquisitions for High-Speed Imaging of Respiratory Organ Motion
2015,A Portable Intra-Operative Framework Applied to Distal Radius Fracture Surgery
2015,Image Based Surgical Instrument Pose Estimation with Multi-class Labelling and Optical Flow
2015,Adaption of 3D Models to 2D X-Ray Images during Endovascular Abdominal Aneurysm Repair
2015,Projection-Based Phase Features for Localization of a Needle Tip in 2D Curvilinear Ultrasound
2015,Inertial Measurement Unit for Radiation-Free Navigated Screw Placement in Slipped Capital Femoral Epiphysis Surgery
2015,Pictorial Structures on RGB-D Images for Human Pose Estimation in the Operating Room
2015,Interventional Photoacoustic Imaging of the Human Placenta with Ultrasonic Tracking for Minimally Invasive Fetal Surgeries
2015,Automated Segmentation of Surgical Motion for Performance Analysis and Feedback
2015,Vision-Based Intraoperative Cone-Beam CT Stitching for Non-overlapping Volumes
2015,Visibility Map: A New Method in Evaluation Quality of Optical Colonoscopy
2015,Tissue Surface Reconstruction Aided by Local Normal Information Using a Self-calibrated Endoscopic Structured Light System
2015,Surgical Augmented Reality with Topological Changes
2015,Towards an Efficient Computational Framework for Guiding Surgical Resection through Intra-operative Endo-microscopic Pathology
2015,Automated Assessment of Surgical Skills Using Frequency Analysis
2015,Robust Live Tracking of Mitral Valve Annulus for Minimally-Invasive Intervention Guidance
2015,Motion-Aware Mosaicing for Confocal Laser Endomicroscopy
2015,A Registration Approach to Endoscopic Laser Speckle Contrast Imaging for Intrauterine Visualisation of Placental Vessels
2015,Marker-Less AR in the Hybrid Room Using Equipment Detection for Camera Relocalization
2015,Hybrid Retargeting for High-Speed Targeted Optical Biopsies
2015,Visual Force Feedback for Hand-Held Microsurgical Instruments
2015,Automated Three-Piece Digital Dental Articulation
2015,A System for MR-Ultrasound Guidance during Robot-Assisted Laparoscopic Radical Prostatectomy
2015,Automatic Fetal Ultrasound Standard Plane Detection Using Knowledge Transferred Recurrent Neural Networks
2015,Automatic Localization and Identification of Vertebrae in Spine CT via a Joint Learning Model with Deep Neural Networks
2015,Identification of Cerebral Small Vessel Disease Using Multiple Instance Learning
2015,Why Does Synthesized Data Improve Multi-sequence Classification?
2015,Label Stability in Multiple Instance Learning
2015,"Spectral Forests: Learning of Surface Data, Application to Cortical Parcellation"
2015,DeepOrgan: Multi-level Deep Convolutional Networks for Automated Pancreas Segmentation
2015,3D Deep Learning for Efficient and Robust Landmark Detection in Volumetric Data
2015,A Hybrid of Deep Network and Hidden Markov Model for MCI Identification with Resting-State fMRI
2015,Combining Unsupervised Feature Learning and Riesz Wavelets for Histopathology Image Representation: Application to Identifying Anaplastic Medulloblastoma
2015,Automatic Coronary Calcium Scoring in Cardiac CT Angiography Using Convolutional Neural Networks
2015,A Random Riemannian Metric for Probabilistic Shortest-Path Tractography
2015,Deep Learning and Structured Prediction for the Segmentation of Mass in Mammograms
2015,Learning Tensor-Based Features for Whole-Brain fMRI Classification
2015,Prediction of Trabecular Bone Anisotropy from Quantitative Computed Tomography Using Supervised Learning and a Novel Morphometric Feature Descriptor
2015,Automatic Diagnosis of Ovarian Carcinomas via Sparse Multiresolution Tissue Representation
2015,Scale-Adaptive Forest Training via an Efficient Feature Sampling Scheme
2015,Multiple Instance Cancer Detection by Boosting Regularised Trees
2015,Uncertainty-Driven Forest Predictors for Vertebra Localization and Segmentation
2015,Who Is Talking to Whom: Synaptic Partner Detection in Anisotropic Volumes of Insect Brain
2015,Direct and Simultaneous Four-Chamber Volume Estimation by Multi-Output Regression
2015,Cross-Domain Synthesis of Medical Images Using Efficient Location-Sensitive Deep Network
2015,Grouping Total Variation and Sparsity: Statistical Learning with Segmenting Penalties
2015,Scandent Tree: A Random Forest Learning Method for Incomplete Multimodal Datasets
2015,Disentangling Disease Heterogeneity with Max-Margin Multiple Hyperplane Classifier
2015,Marginal Space Deep Learning: Efficient Architecture for Detection in Volumetric Image Data
2015,Nonlinear Regression on Riemannian Manifolds and Its Applications to Neuro-Image Analysis
2015,Computer-Aided Detection and Quantification of Intracranial Aneurysms
2015,Discriminative Feature Selection for Multiple Ocular Diseases Classification by Sparse Induced Graph Regularized Group Lasso
2015,Detection of Glands and Villi by Collaboration of Domain Knowledge and Deep Learning
2015,Minimum S-Excess Graph for Segmenting and Tracking Multiple Borders with HMM
2015,Automatic Artery-Vein Separation from Thoracic CT Images Using Integer Programming
2015,Automatic Dual-View Mass Detection in Full-Field Digital Mammograms
2015,Leveraging Mid-Level Semantic Boundary Cues for Automated Lymph Node Detection
2015,Computer-Aided Pulmonary Embolism Detection Using a Novel Vessel-Aligned Multi-planar Image Representation and Convolutional Neural Networks
2015,Ultrasound-Based Detection of Prostate Cancer Using Automatic Feature Selection with Deep Belief Networks
2015,MCI Identification by Joint Learning on Multiple MRI Data
2015,Medical Image Retrieval Using Multi-graph Learning for MCI Diagnostic Assistance
2015,Regenerative Random Forest with Automatic Feature Selection to Detect Mitosis in Histopathological Breast Cancer Images
2015,HoTPiG: A Novel Geometrical Feature for Vessel Morphometry and Its Application to Cerebral Aneurysm Detection
2015,Robust Segmentation of Various Anatomies in 3D Ultrasound Using Hough Forests and Learned Data Representations
2015,Improved Parkinson's Disease Classification from Diffusion MRI Data by Fisher Vector Descriptors
2015,Automated Shape and Texture Analysis for Detection of Osteoarthritis from Radiographs of the Knee
2015,Hashing Forests for Morphological Search and Retrieval in Neuroscientific Image Databases
2015,Computer-Aided Infarction Identification from Cardiac CT Images: A Biomechanical Approach with SVM
